"Kingdom","Phylum","Class","Order","Family","Genus","Count"
"Bacteria","Pseudomonadota","Alphaproteobacteria","Pelagibacterales","Clade I","Clade Ia",20
"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Aurantiacibacter",20
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",20
"Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Sva0081 sediment group",20
"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna",19
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Algibacter",19
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Planktotalea",19
"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Qipengyuania",19
"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Verticiella",19
"Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",18
"Bacteria","Pseudomonadota","Alphaproteobacteria","Kordiimonadales","Kordiimonadaceae","Kordiimonas",18
"Bacteria","Pseudomonadota","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella",18
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Kangiellaceae","Kangiella",18
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",18
"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Puniceicoccaceae","MB11C04 marine group",18
"Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium",17
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","NS10 marine group",17
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Gaetbulibacter",17
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Maritimimonas",17
"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",17
"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Propionigenium",17
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage",17
"Bacteria","Pseudomonadota","Gammaproteobacteria","Chromatiales","Sedimenticolaceae","Sedimenticola",17
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",17
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter",17
"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira",16
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Planctomicrobium",16
"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosomonas",16
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",16
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Owenweeksia",15
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Pseudozobellia",15
"Bacteria","Cyanobacteriota","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","Acrophormium PCC-7375",15
"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiales Incertae Sedis","Anderseniella",15
"Bacteria","Pseudomonadota","Alphaproteobacteria","Puniceispirillales","SAR116 clade","Candidatus Puniceispirillum",15
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Litoreibacter",15
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Silicimonas",15
"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Pacificimonas",15
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Moritellaceae","Paramoritella",15
"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Puniceicoccaceae","Verruc-01",15
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Eudoraea",14
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lutibacter",14
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassomonas",14
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",14
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Unknown Family","Alkalimarinus",14
"Bacteria","Rhodothermota","Rhodothermia","Rhodothermales","Rhodothermaceae","Rubrivirga",14
"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",13
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Bizionia",13
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS3a marine group",13
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Patiriisocius",13
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Roseobacter",13
"Bacteria","Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus Thiobios",13
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Shewanellaceae","Psychrobium",13
"Bacteria","Pseudomonadota","Gammaproteobacteria","Francisellales","Francisellaceae","Cysteiniphilum",13
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Umboniibacter",13
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Dasania",13
"Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfocastanea",13
"Bacteria","Ignavibacteriota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","IheB3-7",12
"Bacteria","Pseudomonadota","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus Bealeia",12
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Aliiroseovarius",12
"Bacteria","Pseudomonadota","Gammaproteobacteria","Beggiatoales","Leucotrichaceae","Thiolinea",12
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas",12
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Planctobacterium",12
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1","Alcanivorax",12
"Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","SEEP-SRB1",12
"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus Amoebophilus",11
"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","Simkaniaceae","Candidatus Fritschea",11
"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter",11
"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera",11
"Bacteria","Pseudomonadota","Gammaproteobacteria","Thiomicrospirales","Thiomicrospiraceae","endosymbionts",11
"Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfoconvexum",11
"Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera",11
"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Deminuibacter",10
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Arcticiflavibacter",10
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Meridianimaribacter",10
"Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42",10
"Bacteria","Pseudomonadota","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Kiloniella",10
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Halocynthiibacter",10
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Pelagicola",10
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",10
"Bacteria","Pseudomonadota","Gammaproteobacteria","Piscirickettsiales","Piscirickettsiaceae","Candidatus Endoecteinascidia",10
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Nitrincolaceae","Motiliproteus",10
"Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans",10
"Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Desulfosarcina",10
"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Opitutaceae","Diplosphaera",10
"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 23",9
"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Aureispira",9
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Cellulophaga",9
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Gilvibacter",9
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Hoppeia",9
"Bacteria","Bdellovibrionota","Bacteriovoracia","Bacteriovoracales","Bacteriovoracaceae","Halobacteriovorax",9
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Rubinisphaera",9
"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Parvularculaceae","Marinicaulis",9
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Planktomarina",9
"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter",9
"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Tsuneonella",9
"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans",9
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",9
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Reinekea",9
"Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Desulfosudis",9
"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",8
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",8
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",8
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muriicola",8
"Bacteria","Cyanobacteriota","Cyanobacteriia","Synechococcales","Synechococcales Incertae Sedis","Schizothrix LEGE 07164",8
"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",8
"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter",8
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Catenococcus",8
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Thaumasiovibrio",8
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Eionea",8
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","C1-B045",8
"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Pleomorphochaeta",8
"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Pedosphaerales","Pedosphaeraceae","SCGC AAA164-E04",8
"Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","Aminicenantaceae","Aminicenans",7
"Bacteria","Actinomycetota","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207",7
"Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus Aquiluna",7
"Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Family XI","Anaerococcus",7
"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Rubidimonas",7
"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum",7
"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Flammeovirgaceae","Flammeovirga",7
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Cryomorpha",7
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Taeania",7
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Ascidiaceihabitans",7
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Pseudorhodobacter",7
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Incertae Sedis","Candidatus Hepatincola",7
"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Parasphingopyxis",7
"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax",7
"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Xylophilus",7
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Psychromonadaceae","Agarivorans",7
"Bacteria","Pseudomonadota","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",7
"Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Arenimonas",7
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Halieaceae","Luminiphilus",7
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Litorivicinaceae","Litorivicinus",7
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","Porticoccus",7
"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Chthoniobacterales","Xiphinematobacteraceae","Candidatus Xiphinematobacter",7
"Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",6
"Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Incertae Sedis","JTB215",6
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",6
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Puteibacter",6
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Mesoflavibacter",6
"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Nonlabens",6
"Bacteria","Bacteroidota","Bacteroidia","ML602M-17","Incertae Sedis","Salibacter",6
"Bacteria","Myxococcota","Polyangiia","Haliangiales","Haliangiaceae","Haliangium",6
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Algisphaera",6
"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19 marine sediment group",6
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Bythopirellula",6
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Tateyamaria",6
"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Hydromonas",6
"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","RS62 marine group",6
"Bacteria","Pseudomonadota","Gammaproteobacteria","Ectothiorhodospirales","Thioalkalispiraceae","Thiohalophilus",6
"Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Candidatus Berkiella",6
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Cellvibrio",6
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae","Marinobacter",6
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Spongiispira",6
"Bacteria","Pseudomonadota","Gammaproteobacteria","Rickettsiellales","Rickettsiellaceae","Rickettsiella",6
"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta",6
"Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfopila",6
"Bacteria","Verrucomicrobiota","Kiritimatiellia","Kiritimatiellales","Kiritimatiellaceae","MSBL3",6
"Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Incertae Sedis","SCGC AAA286-E23",5
"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae","Metamycoplasma",5
